Year,Mileage,Price
2010,133,7800
2013,105.394,13491
2020,39.237,26795
1999,213.45,13950
2021,1.5,27750
2012,101.774,11995
2011,68,9500
2015,86,13500
2003,68,4700
2006,140,4500
2008,82.583,8500
2011,108.165,9995
2015,60.016,14977
2008,107,9900
2012,127.772,9977
2010,118.432,4500
2004,204,2600
1996,244.019,15450
2008,184.369,5490
2015,60.016,14977
2010,96.349,12995
2013,123.102,12995
2013,118.606,14995
2015,150.005,14995
2015,34.807,24590
2017,39.011,21560
2017,74.5,22995
2008,184.835,3900
1994,222,12378
2017,60.104,23457
2017,84.003,23495
2009,78.5,9000
2012,127.772,9977
2018,6.157,30000
2010,135.987,5900
2016,24.755,29990
2015,155.9,9425
2013,82.141,12995
2003,160.75,3500
2010,125.33,6500
2016,142.128,14995
2012,90.139,11995
2008,198.386,3700
2017,30.219,26990
1999,220,13000
2013,57.9,13500
2012,159.082,5900
1996,112.345,24999
1995,50.443,29005
1994,200.112,19995
2001,175.789,17555